An emerging role for interferon in haemophiliacs with chronic hepatitis C?,1,1,1,1,1,2,1,1,1,1,1,0,1,1,1,1,0,0,1,1
Cost-effectiveness of adjuvant interferon therapy after surgical resection of Hepatitis C-related hepatocellular carcinoma,1,2,2,2,2,2,2,2,1,1,2,1,1,2,2,2,1,2,2,2
Effect of hepatitis B and C virus infections on the natural history of compensated cirrhosis: a cohort study of 297 patients,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hepatocellular carcinoma and hepatitis C in the United States,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Interferon therapy prolonged life expectancy among chronic hepatitis C patients,2,2,2,2,1,2,2,1,1,2,2,1,1,2,1,1,2,2,1,2
Treatment of Hepatitis C Virus Genotype 4–Related Cirrhosis: Ribavirin and Interferon Combination Compared With Interferon Alone,1,2,2,2,2,1,2,2,2,1,2,2,1,2,2,2,2,1,2,2
Interferon for interferon naive patients with chronic hepatitis C,1,2,2,0,1,1,1,2,0,1,0,0,0,2,1,1,2,1,0,0
The in vivo apoptotic effect of interferon alfa‐2b on rat preneoplastic liver involves Bax protein,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2,0,0
Assessment of therapeutic benefit of antiviral therapy in chronic hepatitis C: is hepatic venous pressure gradient a better end point?,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0
Interferon for Decreasing the Incidence of Hepatocellular Carcinoma in Patients with Chronic Hepatitis C,2,2,2,2,1,2,1,1,1,1,2,2,1,2,1,1,2,2,1,2
Hepatitis C: Who Should You Treat and How?,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Plasma brain natriuretic peptide as a predictor of haemodynamically significant patent ductus arteriosus in preterm infants,0,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,0
Poor outcome of very low birthweight babies with serious congenital heart disease,0,2,2,1,1,1,1,2,1,1,0,1,0,2,1,1,1,1,0,2
Evaluating 'old' definitions for the 'new' bronchopulmonary dysplasia,1,1,1,1,1,1,1,2,1,1,0,2,2,0,1,1,1,2,1,1
Evidence-based neonatology: making a difference beyond discharge from the neonatal nursery,0,1,0,0,2,0,1,1,0,0,2,0,1,2,1,0,0,0,2,0
The management of chronic lung disease,0,1,0,1,1,0,0,1,1,1,0,1,0,0,0,1,1,1,0,0
Treating extremely low birthweight infants with prophylactic indomethacin,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2
Bipolar affective disorder—left out in the cold,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Measuring functional outcomes after prematurity: developmental impact of very low birth weight and extremely low birth weight status on childhood disability,1,1,2,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,0,1
Preterm outcomes research: a critical component of neonatal intensive care,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,0,0,1
Comparison of ibuprofen and indomethacin therapy for patent ductus arteriosus in preterm infants,1,1,2,1,1,1,1,1,1,1,1,2,1,2,1,2,1,1,1,1
Resolving our uncertainty about oxygen therapy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Prophylactic indomethacin for preterm infants: a systematic review and meta-analysis,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0
Effect of early targeted indomethacin on the ductus arteriosus and blood flow to the upper body and brain in the preterm infant,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,2
Do we need another NSAID instead of indomethacin for treatment of ductus arteriosus in preterm infants?,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,0,1
Randomized trial of prolonged low-dose versus conventional-dose indomethacin for treating patent ductus arteriosus in very low birth weight infants,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,2,2,1,2
Hemodynamic and antecedent risk factors of early and late periventricular/intraventricular hemorrhage in premature infants,1,1,1,1,2,0,0,1,1,1,1,2,1,0,1,0,0,1,0,1
Risk factors for intraventricular hemorrhage in very low birth weight premature infants: a retrospective case-control study,1,1,1,1,2,0,0,1,1,1,1,2,1,0,1,0,0,1,0,1
Evaluation and development of potentially better practices for the prevention of brain hemorrhage and ischemic brain injury in very low birth weight infants,1,1,1,1,2,0,0,1,1,0,0,2,1,0,1,0,0,1,0,1
Assessment and management of acute pain in high-risk neonates,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DAILY COST PREDICTION MODEL IN NEONATAL INTENSIVE CARE,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0
"Impact of bronchopulmonary dysplasia, brain injury, and severe retinopathy on the outcome of extremely low-birth-weight infants at 18 months: results from the trial of indomethacin prophylaxis in preterms",2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,2,2,2,1
Indomethacin for asymptomatic patent ductus arteriosus in preterm infants,0,2,1,1,0,1,0,2,1,0,0,1,1,1,1,2,0,0,1,1
Management of Patent Ductus Arteriosus in Very Preterm Infants in the Post-surfactant Era,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,2,1,1,2,1
